Num_Children,Group,Income,Own_Car,Own_Housing,Target
3,0,46138,1,1,0
1,0,95719,1,0,1
1,0,80153,1,1,1
1,0,44933,1,0,0
1,1,81215,1,1,1
2,0,36726,1,0,0
4,1,50957,0,1,0
7,1,104613,1,1,1
2,1,90864,1,0,1
0,1,59752,1,0,0
3,1,57913,1,1,0
2,0,91051,1,0,1
0,1,113204,1,0,1
2,1,89461,1,0,1
1,1,116477,1,0,1
6,0,67647,0,0,0
1,0,33471,0,0,0
4,1,79756,1,1,1
4,1,90124,1,1,1
1,1,79143,1,1,1
1,1,83043,1,0,1
1,1,51527,1,0,0
4,0,69805,0,1,0
2,1,67290,1,0,0
0,1,57755,1,1,0
2,1,109431,1,1,1
3,1,102668,1,1,1
1,1,44196,1,1,0
3,1,75182,1,1,1
0,0,59964,1,0,0
2,1,58852,1,0,0
1,1,101518,1,1,1
0,0,40119,1,0,0
3,1,52337,1,1,0
1,0,53123,0,0,0
2,0,85765,0,1,1
2,1,71515,1,1,1
2,1,50732,1,1,0
0,0,55382,1,0,0
2,1,111181,1,0,1
4,0,83478,0,0,0
4,0,70980,1,0,0
3,0,62495,1,1,0
2,0,44732,1,0,0
3,0,71791,1,1,0
0,0,72132,0,0,0
1,0,30950,0,0,0
1,0,95680,1,0,1
0,0,37658,1,0,0
1,1,107990,1,0,1
3,1,74824,1,0,0
0,1,91463,1,0,1
1,1,103526,1,0,1
1,0,51661,0,0,0
0,0,86392,1,0,0
4,0,56491,0,0,0
1,0,32792,1,0,0
2,1,45397,1,1,0
0,0,46670,0,1,0
7,0,51652,1,0,0
0,0,33819,0,0,0
1,0,89478,1,0,0
2,0,57677,0,0,0
2,0,33792,0,1,0
3,1,119379,1,0,1
3,1,45362,1,1,0
0,1,60128,1,0,0
2,1,106103,1,1,1
5,0,50224,0,0,0
3,0,91034,1,1,1
4,0,30190,0,1,0
2,0,67365,0,1,0
1,0,58244,0,1,0
2,0,34756,1,0,0
3,0,98671,1,0,1
4,1,109859,1,0,1
0,0,59683,1,1,0
1,0,63804,0,0,0
1,0,31314,1,1,0
1,0,67245,1,0,0
3,1,75567,1,1,1
4,0,45732,0,0,0
3,1,44822,0,0,0
2,1,113152,1,1,1
5,0,73852,1,0,0
1,1,51852,1,0,0
1,1,69412,1,1,1
0,0,46091,0,0,0
1,0,92790,0,0,1
2,1,45866,1,0,0
3,1,115391,1,0,1
2,1,73597,1,0,0
2,0,87154,1,0,1
3,0,79671,1,0,0
0,1,54623,1,0,0
1,0,58093,1,0,0
1,1,41838,1,1,0
4,1,99319,1,1,1
1,1,66759,0,1,0
0,0,85901,0,0,0
3,1,80940,1,1,1
1,0,30972,0,1,0
3,0,71038,1,0,0
0,1,103740,1,1,1
1,1,100306,1,1,1
2,1,64571,0,0,0
1,1,86989,1,0,1
2,1,102313,1,0,1
3,1,53335,1,0,0
0,0,68051,1,0,0
1,0,49209,1,0,0
2,0,53660,1,0,0
1,0,85473,1,1,1
2,0,46744,1,1,0
2,1,116189,1,0,1
1,0,88271,0,0,0
3,1,51908,1,0,0
1,0,55736,1,1,0
1,0,92609,1,0,1
4,1,57122,1,0,0
4,1,101535,1,1,1
2,1,107692,1,0,1
3,1,78361,1,1,1
0,0,59588,1,0,0
2,1,118769,1,0,1
4,0,69192,1,0,0
1,1,113802,1,0,1
2,0,53007,0,0,0
2,1,45246,1,0,0
1,1,110221,1,1,1
2,1,49406,1,0,0
4,0,86194,0,0,0
0,0,88105,1,1,1
3,1,90801,1,1,1
0,0,87849,1,0,1
3,1,105118,1,0,1
4,1,40068,1,1,0
